Name,US_News_Rank,Acceptance_Rate,GPA,LOCALE,SAT_AVG,SAT_25,SAT_75,ACTCMMID,ACTCM25,ACTCM75,Completion_for_150_Expected_Time,Completion_for_200_Expected_Time,THEOverall,THETeaching,THEResearch,THECitations,THEIndustry_Income,THEInternational_Outlook,Region,Starting_Median_Salary,Mid_Career_Median_Salary,Mid_Career_10th_Percentile_Salary,Mid_Career_25th_Percentile_Salary,Mid_Career_75th_Percentile_Salary,Mid_Career_90th_Percentile_Salary,US_Rank_2019,Employability_Rank_2019,State,City,RnD_expenditures_2017,Early_Career_Pay,Mid_Career_Pay,High_Meaning,STEM,Social_Media_Score,QS_OVERALL,QS_CITATIONS_PER_FACULTY,QS_INTERNATIONAL_STUDENTS,QS_INTERNATIONAL_FACULTY,QS_FACULTY_STUDENT,QS_EMPLOYER,QS_ACADEMIC,Student_Life_Ranking,Cost_of_Attendance,Tuition,Location,Academics,Careers,City,Life,Cost,data_count
Emory University,21,0.246198,3.8,11,1437,1350,1520,32,30,33,0.9091,0.9044,64,56,40.4,98.8,45.4,57.9,Southern,52000,91600,52500,63300,128000,192000,42,202,Georgia,Atlanta,664888,62000,110800,0.44,0.2,38.45147,48.6,59.1,45.2,49.4,99.7,11.8,26.9,,11599,,,,,,,,44
Northwestern University,9,0.09238,,13,1500,1420,1560,33,32,34,0.9376,0.9398,83.5,74.2,83.8,97.8,78.4,64.1,Midwestern,52700,95900,51900,69100,144000,205000,25,119,Illinois,Evanston,751809,63400,115400,0.46,0.2,19.23992,81.5,62.8,49,76.1,100,80.2,85.9,47,23967,,,,,,,,44
Marquette University,86,0.893262,,11,1262,1130,1310,27,24,29,0.8031,0.8021,22.2–28.2,36,14.4,34.3,36.3,24.6,Midwestern,48500,88400,49500,67400,121000,184000,,,,,,57800,105900,0.52,0.25,21.33724,,,,,,,,,,,,,,,,,30
Boston College,37,0.324137,,13,1434,1320,1490,32,31,33,0.9211,0.9281,44.5–46.8,36.7,33.7,69.2,34.4,42.3,Northeastern,52700,103000,48900,70000,143000,195000,31,152,Massachusetts,Boston,58088,63600,115400,0.43,0.13,21.82506,26.7,23.6,19.5,43.6,37.5,21.1,22.9,82,67879,,,,,,,,44
Michigan State University,87,0.715491,3.6,13,1220,1100,1320,26,23,28,0.7934,0.7981,63.9,56.6,57.4,80,37.8,63.3,Midwestern,46300,85300,44200,61500,119000,170000,43,203,Michigan,East Lansing,694917,,,,,25.85918,51.1,54.4,36.2,63.8,18.6,65.8,61.9,22,27537,,,,,,,,41
Colorado School of Mines,84,0.557167,3.8,21,1391,1310,1450,30,28,32,0.7804,0.7768,44.5–46.8,30.1,25.1,79.6,46.6,42.1,Western,58100,106000,62200,87900,142000,201000,,,,,59477,75600,139600,0.6,0.93,55.09545,,,,,,,,,,,,,,,,,32
University of California Riverside,94,,3.6,11,1215,1090,1300,26,23,29,0.7505,0.7473,46.9–50.0,31.2,30.3,85.9,39.4,64.7,California,46800,81300,37200,59900,109000,134000,,,,,163632,55900,106900,0.47,0.31,41.04874,,,,,,,,,,,,,,,,,31
Georgetown University,24,0.156789,,11,1451,1350,1520,32,30,34,0.9461,0.9419,61.9,57.3,37.9,93.9,62.5,47.2,Southern,55000,110000,60300,85800,174000,248000,23,100,Washington DC,0,212319,66400,122200,0.42,0.14,13.71135,40.1,26.7,47.3,16.6,67.6,42.8,34.2,60,41488,,,,,,,,44
University of Florida,35,0.426598,4,12,1346,1240,1400,30,28,32,0.8803,0.8727,55.4,54,53.8,61.9,57.9,40,Southern,47100,87900,45400,62900,120000,172000,,,,,801418,,,,,17.74072,47.7,29.6,13,18.7,74,48.3,50.9,15,,,,,,,,,36
University of Delaware,95,0.628853,3.8,21,1250,1130,1330,27,25,29,0.8235,0.8199,46.9–50.0,28.5,38.2,71.5,90.6,47.2,Southern,45900,84500,44500,64000,119000,165000,,,,,183428,58600,105400,0.43,0.22,25.67531,24.3,67.1,22.5,39.3,11.6,10.2,11,58,36612,,,,,,,,41
