FIPS,county_name,wtd_den,pop_den,population
36061,"New York County, New York",137843,72168,1634989
36005,"Bronx County, New York",91472,34168,1436785
36047,"Kings County, New York",64875,37341,2606852
36081,"Queens County, New York",51945,21238,2310011
34017,"Hudson County, New Jersey",40391,14455,668526
6075,"San Francisco County, California",33631,18132,850282
25025,"Suffolk County, Massachusetts",29072,13180,767719
42101,"Philadelphia County, Pennsylvania",24545,11626,1559938
11001,"District of Columbia, District of Columbia",22163,10778,659009
51013,"Arlington County, Virginia",20157,8699,226092
51510,"Alexandria city, Virginia",18547,10065,151473
36085,"Richmond County, New York",17718,8136,473324
34013,"Essex County, New Jersey",16766,6284,792586
17031,"Cook County, Illinois",15916,5532,5227575
34031,"Passaic County, New Jersey",15666,2727,507204
72127,"San Juan Municipio, Puerto Rico",15293,7602,363744
6037,"Los Angeles County, California",15225,2478,10057155
24510,"Baltimore city, Maryland",15225,7672,621000
15003,"Honolulu County, Hawaii",15121,1643,986999
12086,"Miami-Dade County, Florida",13171,1403,2664418
72033,"Cataño Municipio, Puerto Rico",13110,5352,26137
6001,"Alameda County, California",12197,2172,1605217
36119,"Westchester County, New York",11727,2251,969229
34039,"Union County, New Jersey",11591,5356,550436
6081,"San Mateo County, California",11215,1683,754748
72031,"Carolina Municipio, Puerto Rico",11114,3639,165040
6059,"Orange County, California",10834,3962,3132211
6085,"Santa Clara County, California",10720,1460,1885056
34003,"Bergen County, New Jersey",10346,3997,930310
51683,"Manassas city, Virginia",9752,4164,41149
72021,"Bayamón Municipio, Puerto Rico",9400,4353,192974
6083,"Santa Barbara County, California",9144,161,439395
8031,"Denver County, Colorado",9122,4326,663303
36059,"Nassau County, New York",9115,4764,1356801
6073,"San Diego County, California",8765,773,3253356
72137,"Toa Baja Municipio, Puerto Rico",8711,3599,83645
44007,"Providence County, Rhode Island",8690,1542,631344
25017,"Middlesex County, Massachusetts",8646,1917,1567610
55079,"Milwaukee County, Wisconsin",8631,3954,955306
47095,"Lake County, Tennessee",8599,46,7643
29510,"St. Louis city, Missouri",8559,5101,316030
72113,"Ponce Municipio, Puerto Rico",8309,1329,152594
22071,"Orleans Parish, Louisiana",8262,2260,382922
42027,"Centre County, Pennsylvania",8093,143,159178
41051,"Multnomah County, Oregon",8076,1805,778193
6053,"Monterey County, California",7984,131,430201
32003,"Clark County, Nevada",7979,262,2070153
24031,"Montgomery County, Maryland",7954,2082,1026371
53033,"King County, Washington",7929,983,2079550
72061,"Guaynabo Municipio, Puerto Rico",7603,3351,92444
42045,"Delaware County, Pennsylvania",7573,3058,562316
48113,"Dallas County, Texas",7408,2878,2513054
25009,"Essex County, Massachusetts",7353,1562,769362
34023,"Middlesex County, New Jersey",7309,2690,831852
6111,"Ventura County, California",7254,457,843110
36087,"Rockland County, New York",7211,1860,322642
51059,"Fairfax County, Virginia",7190,2898,1132887
51685,"Manassas Park city, Virginia",7177,6234,15827
