Jurisdiction of Occurrence,Density per mile squared,Lockdown Ranking,Lockdown Score,Unemployment Rank,Unemployment rate
Alabama,95,14,63,25,6.6
Alaska,1,12,67,29,7.2
Arizona,60,46,31,26,6.7
Arkansas,57,10,68,31,7.3
California,251,52,22,51,11
Colorado,52,47,31,22,6.4
Connecticut,741,40,35,34,7.8
Delaware,485,32,39,40,8.2
District of Columbia,11011,44,34,45,8.7
Florida,378,11,67.86,33,7.6
Georgia,177,13,67,22,6.4
Hawaii,222,54,18,54,15.1
Idaho,20,2,81.4,16,6.1
Illinois,231,23,50,49,10.2
Indiana,184,15,62,19,6.2
Iowa,55,5,75,5,4.7
Kansas,36,17,61,13,5.9
Kentucky,112,38,36,12,5.6
Louisiana,108,25,47,38,8.1
Maine,43,49,29,16,6.1
Maryland,618,24,48,29,7.2
Massachusetts,871,50,25,48,9.6
Michigan,175,31,39,43,8.5
Minnesota,68,33,38,14,6
Mississippi,63,22,57,28,7.1
Missouri,88,8,69.64,6,4.9
Montana,7,29,42,9,5.3
Nebraska,24,21,58,1,3.5
Nevada,26,20,58,52,12.6
New Hampshire,148,26,45,14,6
New Jersey,1218,48,30,26,6.7
New Mexico,17,35,38,47,9.4
New York,204,39,36,24,6.5
New York City,27015,53,20,53,14.1
North Carolina,206,34,38,31,7.3
North Dakota,10,9,69.52,4,4.4
Ohio,284,16,61.96,42,8.4
Oklahoma,57,4,76,9,5.3
Oregon,41,45,33,37,8
Pennsylvania,286,43,34,38,8.1
Puerto Rico,1046,51,23,46,9.3
Rhode Island,1021,30,39,50,10.5
South Carolina,162,19,59.08,8,5.1
South Dakota,11,1,83.93,2,4.1
Tennessee,160,18,60,21,6.3
Texas,105,36,38,41,8.3
United States,87,27,44,36,7.9
Utah,36,3,80.09,7,5
Vermont,67,42,35,3,4.2
Virginia,212,41,35,19,6.2
Washington,107,37,38,34,7.8
West Virginia,76,28,42,44,8.6
Wisconsin,106,6,71,11,5.4
Wyoming,6,7,70,16,6.1
